Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,0,0,0,0
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,0,0,0,0
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,0,0,0,0
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,19,4.3589,14.6411,23.3589
52,0.03,38,6.16441,31.8356,44.1644
53,0.05,28,5.2915,22.7085,33.2915
54,0.07,22,4.69042,17.3096,26.6904
55,0.09,16,4,12,20
56,0.11,11,3.31662,7.68338,14.3166
57,0.13,7,2.64575,4.35425,9.64575
58,0.15,9,3,6,12
59,0.17,6,2.44949,3.55051,8.44949
60,0.19,8,2.82843,5.17157,10.8284
61,0.21,3,1.73205,1.26795,4.73205
62,0.23,2,1.41421,0.585786,3.41421
63,0.25,4,2,2,6
64,0.27,3,1.73205,1.26795,4.73205
65,0.29,2,1.41421,0.585786,3.41421
66,0.31,3,1.73205,1.26795,4.73205
67,0.33,2,1.41421,0.585786,3.41421
68,0.35,1,1,0,2
69,0.37,5,2.23607,2.76393,7.23607
70,0.39,0,0,0,0
71,0.41,1,1,0,2
72,0.43,1,1,0,2
73,0.45,2,1.41421,0.585786,3.41421
74,0.47,4,2,2,6
75,0.49,0,0,0,0
76,0.51,0,0,0,0
77,0.53,0,0,0,0
78,0.55,2,1.41421,0.585786,3.41421
79,0.57,2,1.41421,0.585786,3.41421
80,0.59,2,1.41421,0.585786,3.41421
81,0.61,3,1.73205,1.26795,4.73205
82,0.63,0,0,0,0
83,0.65,0,0,0,0
84,0.67,1,1,0,2
85,0.69,0,0,0,0
86,0.71,0,0,0,0
87,0.73,1,1,0,2
88,0.75,1,1,0,2
89,0.77,0,0,0,0
90,0.79,0,0,0,0
91,0.81,0,0,0,0
92,0.83,1,1,0,2
93,0.85,0,0,0,0
94,0.87,1,1,0,2
95,0.89,2,1.41421,0.585786,3.41421
96,0.91,0,0,0,0
97,0.93,0,0,0,0
98,0.95,0,0,0,0
99,0.97,0,0,0,0
100,0.99,1,1,0,2
