Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,2,1.41421,0.585786,3.41421
3,0.05,9,3,6,12
4,0.07,3,1.73205,1.26795,4.73205
5,0.09,7,2.64575,4.35425,9.64575
6,0.11,8,2.82843,5.17157,10.8284
7,0.13,10,3.16228,6.83772,13.1623
8,0.15,3,1.73205,1.26795,4.73205
9,0.17,4,2,2,6
10,0.19,7,2.64575,4.35425,9.64575
11,0.21,3,1.73205,1.26795,4.73205
12,0.23,4,2,2,6
13,0.25,2,1.41421,0.585786,3.41421
14,0.27,1,1,0,2
15,0.29,0,0,0,0
16,0.31,2,1.41421,0.585786,3.41421
17,0.33,0,0,0,0
18,0.35,1,1,0,2
19,0.37,1,1,0,2
20,0.39,1,1,0,2
21,0.41,0,0,0,0
22,0.43,0,0,0,0
23,0.45,0,0,0,0
24,0.47,0,0,0,0
25,0.49,0,0,0,0
26,0.51,0,0,0,0
27,0.53,0,0,0,0
28,0.55,0,0,0,0
29,0.57,0,0,0,0
30,0.59,0,0,0,0
31,0.61,0,0,0,0
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
